opeid,unitid,data.support_center.tutoring_resources.live_tutor,data.support_center.tutoring_resources.all_day_tutor,data.support_center.tutoring_resources.group_tutoring,data.support_center.online_resources.online_tutoring,data.support_center.online_resources.online_mentoring,data.support_center.online_resources.smarthinking,data.support_center.online_resources.tutordotcom,data.support_center.online_resources.nettutor,data.support_center.online_resources.brainfuse,data.support_center.online_resources.askonline,data.support_center.online_resources.online_learning_support,data.support_center.online_resources.instaedu,data.support_center.online_resources.skype,data.support_center.online_resources.google_hangouts,data.support_center.online_resources.blackboard_collaborate,data.support_center.online_resources.etutoring_org,data.support_center.online_resources.ctdlc_org,data.support_center.online_resources.tutorvista,data.support_center.online_resources.wyzant,data.support_center.writing_center,data.support_center.learning_center,data.support_center.career_center,data.support_center.esl_support,data.support_center.peer_mentoring,data.retention_program.retention_programs,data.retention_program.civitas,data.retention_program.starfish,data.retention_program.early_alerts,data.retention_program.retention_support,data.retention_program.learning_support,data.student_groups.learning_community,data.student_groups.cultural_hub,data.student_groups.religious_organization,data.student_groups.student_organization,data.lms.blackboard,data.lms.moodle,data.lms.sakai,data.lms.lms,data.computer_lab,data.academic_planning,data.online_academic_planning,data.personal_development,data.small_business_center,data.mentoring.peer_mentor,data.mentoring.minority_male_mentor,data.mentoring.academic_mentor,data.mentoring.personal_mentor,data.mentoring.faculty_mentor,data.mentoring.minority_mentor,data.advising.one_on_one_advising,data.advising.faculty_advising,data.advising.staff_advising,data.advising.advising_center,data.advising.academic_advising,data.advising.career_advising,data.advising.advising,data.freshman_year,data.remedial_courses.developmental_courses,data.remedial_courses.freshman_seminar,data.remedial_courses.supplemental_courses,data.remedial_courses.summer_classes,data.remedial_courses.placement_tests,data.other.veteran_services,data.other.work_study,data.other.high_school_program,data.other.lti_compliance
4192600,475538, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3907301,475547, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4204700,475556, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4210100,475565, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4205500,475574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
3066303,475583, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10732934,470861, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true,true, , , , , , , , , , , , , , , , , , , , , , , , , , , 
10732936,470870, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true,true, , , , , , , , , , , , , , , , , , , , , , , , , , , 
10732939,470889, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true,true, , , , , , , , , , , , , , , , , , , , , , , , , , , 
10732940,470898, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true,true, , , , , , , , , , , , , , , , , , , , , , , , , , , 
10732941,470904, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72098831,474702,true,true, , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , ,true,true, ,true, , , , , ,true, , , , , ,true, ,true, ,true, , , , ,true, , , 
111700,474863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1091302,474881, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1085801,474915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1085802,474924, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3120301,474890, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , , ,true, , , , ,true, ,true, , 
3120302,474906, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , , ,true, , , , ,true, ,true,true, 
738701,474933, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
738702,474942, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32098864,474951,true,true, , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , ,true,true, ,true, , , , , ,true, , , , , ,true, ,true, ,true, , , , ,true, , , 
72098867,474960,true,true, , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , ,true,true, ,true, , , , , ,true, , , , , ,true, ,true, ,true, , , , ,true, , , 
32098866,474979,true,true, , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , ,true,true, ,true, , , , , ,true, , , , , ,true, ,true, ,true, , , , ,true, , , 
2495502,474997, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , 
4203300,475015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2132302,475024, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , ,true,true, , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4208600,475033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
675506,475042, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , ,true, ,true, , , , , , , , 
2116013,475051, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
489808,475060, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
489809,475079, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-2,475088, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2575401,475097,true, , , , , , , , , , , ,true, , , , , , , , ,true, , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , 
1303900,475121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2341005,475130, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-2,475167, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , 
2120709,475176, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , ,true, , , , , , , ,true, ,true, , , , , , , , , , , ,true,true, , , ,true, , ,true, , 
4170000,475185, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
499206,475194, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , ,true, , , , ,true, , , , , ,true, , , , , , , , , , , , , ,true, , , , , , , , , , 
380400,475200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-2,475228, , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , ,true, ,true, ,true, ,true, , , , , , , , , ,true, ,true, , , , , , , , , , 
-2,475237, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2083602,475246, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3030800,475255, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3440402,475282, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true,true,true, ,true, , , , , , , , , , , , , , , , , , , , , , , , 
735102,475291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3422304,475325, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
3010627,475352, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3010628,475370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4187000,475389, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4190500,475404, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4202800,475413, , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
753205,475422, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , ,true, , , , 
2361602,460206, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , ,true, , , , , , , , , , , , , ,true, ,true, , , , , , , , , , 
3010622,460215, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , ,true,true, , , , , , , , , 
3053400,460330, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
340400,460349, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
450303,460358, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
450302,460367, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4175900,460385, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4173500,460394, , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , ,true, , , ,true,true,true, ,true, , , , , , , , , , , , , ,true,true, , ,true, ,true, ,true,true, 
2105901,460446, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4155301,460455, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , ,true,true, , , , , , , , , , 
4176100,460464, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
931309,460473, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
469208,460482, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , ,true, , ,true, , , , , , , , , , , , , ,true, , , , , , , ,true,true, 
2248210,460516, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
3422303,460525, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
2248211,460534, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
2362003,460543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4167601,460552, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4175600,460561, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
466607,460570, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , ,true, , , , , , , , , , 
466606,460589, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2104003,460598, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , 
2565001,460604, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4051332,460613, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , ,true, ,true, , , , , , , , 
4162501,460631, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , ,true, , , , , , , , , , , , , ,true, ,true, , , , , , , , , , 
3766301,460640, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3874301,460659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , ,true, , , , , , , , , , , , , ,true, , , , , , , ,true, , 
2263108,460668, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , ,true, , , ,true, , , ,true,true,true, ,true, , , , , , , , , , , ,true, ,true, , , , , , , , , , 
1194004,460677, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
722901,460686, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2112302,460695, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , ,true, ,true, ,true, , , , , , , , , , , , , , , , , , , , , , , , 
3816301,460701, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2153102,460710, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4189300,460729, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4127700,460738, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4195600,460747, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , ,true, , , ,true,true, , ,true, , , , ,true,true, , , , , , , , ,true, , ,true,true, , ,true,true, 
4182200,460756, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4178100,460765, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3010624,460774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
758609,460783, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , ,true, , , ,true,true, , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4168600,460808, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
499205,460817, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , ,true, , , , ,true, , , , , ,true, , , , , , , , , , , , , ,true, , , , , , , , , , 
2614207,460826, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
499204,460835, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3010623,460844, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3010626,460853, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , ,true,true, ,true, , , , , , , , , , , ,true, ,true, , , , , , , , , , 
4171400,460862, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
638506,460871, , , , , , , , , , , , , , , , , , , , ,true, , , , , , ,true, , , , , , , , , , ,true, , ,true, , , , , , , , , , , , , ,true,true,true, , , , , ,true, , 
367406,460899, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true,true, , , , , , , , , , , , , , , , , ,true, , , , ,true, ,true,true, 
1042401,460905, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4175300,460914, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
3010625,460923, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4174000,460932, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4188900,460941, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4172800,460950, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4170300,460969, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2230502,460978, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4183400,460987, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4170600,460996, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , ,true, , , , , , , , 
466610,461005, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , ,true, , , , , , , , , , 
2219503,461014,true, , , , , , , , , , , , , , , , , , , ,true,true, ,true, , , , , , , , , , , , , , ,true, , ,true, , , , , , , , , , , , , ,true, , , , , , , ,true,true, 
4157400,461023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4154200,461032, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3380304,461041, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-2,461069, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, ,true,true, , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
2052700,461087, , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2324400,461111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3840300,461120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4073300,461139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, ,true, , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4118800,461148, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, ,true, , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , ,true, 
4131500,461157, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4143000,461166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4159700,461263, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4145600,461175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4149600,461184, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4151700,461193, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4155100,461218, , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4156100,461227, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4156500,461236, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true,true,true, ,true, , , , , , , , , , , ,true, ,true, , , , , ,true, ,true, , 
4158300,461245, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4159600,461254, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4161900,461272, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4162000,461281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4162200,461290, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4164600,461306, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4164700,461315, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4165000,461324, , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4165200,461333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4165500,461342, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , , , ,true, , , , , , , , , , , , , , , , , , , , , , , , 
4166000,461351, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,true, , , , , , , ,true, , , , , , , , , , , , , , ,true, , , , , , , , , 
